sefer_id,tren_id,hat_id,planlanan_kalkis,yolcu_sayisi,bilet_kontrol_cihaz_versiyonu,makinist_sicil_no,yemek_servisi_var_mi,hava_durumu,gecikme_suresi_dk
SEFER-00084,TREN-164,HAT-10,2026-04-02 17:00:00,417,v2.4.1,M-4941,1,Yagmurlu,-999.0
SEFER-00085,TREN-124,HAT-11,2026-04-25 07:00:00,319,v1.0.4,M-7397,1,yagmurlu,25.1
SEFER-00086,TREN-106,HAT-11,2026-03-08 06:30:00,-5,v1.0.4,M-6447,0,Karli,17.8
SEFER-00087,TREN-106,HAT-06,2026-04-04 10:30:00,448,v2.1.0,M-3209,0,,6.2
SEFER-00088,TREN-159,HAT-01,20.02.2026 07:15,71,v3.0.0,M-5150,0,Karli,52.1
SEFER-00089,TREN-125,HAT-05,2026-03-03 04:00:00,113,v3.0.0,M-7334,1,Karli,20.7
SEFER-00090,TREN-124,HAT-08,2026-04-29 08:45:00,186,v2.1.0,M-9937,1,Acik,23.0
SEFER-00091,TREN-142,HAT-02,2026-01-14 21:30:00,358,v2.4.1,M-8325,0,,5.6
SEFER-00092,TREN-146,HAT-10,2026-03-16 11:30:00,79,v2.1.0,M-1510,0,Acik,11.1
SEFER-00093,TREN-178,HAT-11,14.05.2026 14:45,,v1.0.4,M-3513,1,,4.6
SEFER-00094,TREN-148,HAT-06,2026-03-18 00:00:00,253,v1.0.4,M-1424,0,Karli,25.5
SEFER-00095,TREN-164,HAT-09,2026-03-08 07:00:00,278,v3.0.0,M-4279,0,Yagmurlu,74.2
SEFER-00096,TREN-118,HAT-14,2026-01-13 21:45:00,94,v2.4.1,M-2063,1,,34.3
SEFER-00097,TREN-139,HAT-14,2026-01-28 03:15:00,112,v3.0.0,M-1430,1,Yagmurlu,23.7
SEFER-00098,TREN-171,HAT-10,2026-03-05 05:45:00,363,v3.0.0,M-9612,1,Acik,0.7
SEFER-00099,TREN-153,HAT-14,2026-04-09 08:00:00,87,v2.1.0,M-3981,0,Sisli,31.3
SEFER-00100,TREN-156,HAT-09,2026-06-05 16:00:00,205,v2.1.0,M-6669,1,Yagmurlu,9.8
SEFER-00101,TREN-111,HAT-05,2026-02-03 18:30:00,323,v2.1.0,M-3804,1,Acik,17.0
SEFER-00102,TREN-173,HAT-01,22.05.2026 02:00,444,v3.0.0,M-1496,1,yagmurlu,11.1
SEFER-00103,TREN-170,HAT-05,2026-04-20 19:30:00,400,v1.0.4,M-3589,1,Sisli,28.5
SEFER-00104,TREN-154,HAT-08,2026-03-21 12:15:00,491,v2.4.1,M-7532,0,,3.8
SEFER-00105,TREN-148,HAT-09,2026-04-07 02:00:00,186,v2.4.1,M-7293,1,Sisli,17.8
SEFER-00106,TREN-132,HAT-14,2026-06-04 05:15:00,419,v3.0.0,M-9171,1,Karli,17.1
SEFER-00107,TREN-164,HAT-01,2026-01-16 14:45:00,160,v3.0.0,M-8710,1,yagmurlu,12.4
SEFER-00108,TREN-169,HAT-01,2026-05-25 20:00:00,422,v3.0.0,M-1838,0,Karli,29.4
SEFER-00109,TREN-147,HAT-09,2026-02-19 12:00:00,331,v1.0.4,M-3108,0,Karli,32.4
SEFER-00110,TREN-151,HAT-06,2026-05-16 21:30:00,123,v1.0.4,M-1742,0,Yagmurlu,17.2
SEFER-00111,TREN-118,HAT-12,2026-02-27 02:45:00,313,v2.1.0,M-7438,1,Yagmurlu,12.0
SEFER-00112,TREN-176,HAT-06,2026-03-28 19:45:00,467,v3.0.0,M-6040,0,Acik,14.6
SEFER-00113,TREN-177,HAT-08,2026-02-15 13:15:00,137,v3.0.0,M-3421,0,yagmurlu,17.9
SEFER-00114,TREN-105,HAT-10,2026-06-12 01:00:00,264,v3.0.0,M-2020,0,Yagmurlu,13.3
SEFER-00115,TREN-167,HAT-04,2026-04-06 23:30:00,242,v2.4.1,M-9950,1,Karli,46.4
SEFER-00116,TREN-134,HAT-10,2026-03-24 21:15:00,202,v2.4.1,M-4396,1,Yagmurlu,36.4
SEFER-00117,TREN-141,HAT-08,2026-03-01 18:30:00,328,v2.4.1,M-3399,1,Sisli,47.6
SEFER-00118,TREN-106,HAT-05,2026-06-13 06:00:00,181,v2.4.1,M-5450,0,,6.5
SEFER-00119,TREN-114,HAT-10,2026-05-07 16:15:00,321,v3.0.0,M-6411,1,Yagmurlu,18.2
SEFER-00120,TREN-113,HAT-11,12.05.2026 19:15,130,v3.0.0,M-8822,0,Sisli,35.6
SEFER-00121,TREN-137,HAT-06,2026-02-18 23:00:00,343,v1.0.4,M-3868,1,Yagmurlu,15.7
SEFER-00122,TREN-123,HAT-15,2026-06-07 04:00:00,303,v2.4.1,M-1613,0,Yagmurlu,35.6
SEFER-00123,TREN-139,HAT-10,2026-04-14 02:00:00,282,v2.1.0,M-9261,1,,7.8
SEFER-00124,TREN-135,HAT-04,2026-05-19 06:00:00,381,v2.4.1,M-5833,0,Karli,-999.0
SEFER-00125,TREN-123,HAT-10,2026-05-27 08:45:00,94,v2.1.0,M-8822,1,Sisli,36.1
SEFER-00126,TREN-132,HAT-01,2026-02-14 18:45:00,218,v2.4.1,M-6890,0,Karli,33.7
SEFER-00127,TREN-108,HAT-11,2026-01-21 10:45:00,307,v2.4.1,M-7021,0,,14.7
SEFER-00128,TREN-129,HAT-03,2026-03-23 20:15:00,241,v2.1.0,M-5054,0,Sisli,27.1
SEFER-00129,TREN-168,HAT-08,01.04.2026 09:30,81,v2.1.0,M-3695,1,yagmurlu,41.3
SEFER-00130,TREN-167,HAT-08,2026-01-21 02:15:00,311,v3.0.0,M-8484,0,Sisli,31.5
SEFER-00131,TREN-172,HAT-08,2026-04-26 01:30:00,468,v1.0.4,M-7941,1,Acik,13.7
SEFER-00132,TREN-109,HAT-09,2026-01-11 12:00:00,196,v3.0.0,M-7135,1,Sisli,17.0
SEFER-00133,TREN-158,HAT-14,2026-06-06 18:45:00,388,v1.0.4,M-3924,1,yagmurlu,19.4
SEFER-00134,TREN-168,HAT-03,2026-05-05 11:15:00,202,v3.0.0,M-4762,0,Sisli,26.2
SEFER-00135,TREN-159,HAT-06,2026-01-27 17:30:00,441,v1.0.4,M-4943,0,Acik,10.3
SEFER-00136,TREN-109,HAT-02,2026-04-12 14:00:00,496,v3.0.0,M-4839,0,Acik,2.8
SEFER-00137,TREN-108,HAT-03,2026-03-28 05:30:00,344,v2.4.1,M-4881,1,Karli,23.6
SEFER-00138,TREN-119,HAT-11,2026-03-31 05:15:00,335,v3.0.0,M-9120,0,yagmurlu,29.2
SEFER-00139,TREN-145,HAT-11,2026-04-25 19:45:00,263,v3.0.0,M-4948,0,Sisli,26.6
SEFER-00140,TREN-139,HAT-14,2026-05-02 00:15:00,337,v2.1.0,M-7363,0,Sisli,49.4
SEFER-00141,TREN-133,HAT-04,2026-02-26 14:00:00,97,v2.4.1,M-7179,0,yagmurlu,20.9
SEFER-00142,TREN-110,HAT-04,2026-05-18 13:15:00,220,v2.1.0,M-2922,1,Karli,46.5
SEFER-00143,TREN-132,HAT-12,2026-04-14 09:15:00,214,v2.4.1,M-6053,1,Karli,29.8
SEFER-00144,TREN-147,HAT-09,2026-05-31 21:45:00,419,v2.1.0,M-7073,1,Sisli,29.3
SEFER-00145,TREN-153,HAT-01,2026-04-07 06:15:00,-36,v2.1.0,M-4214,1,yagmurlu,16.7
SEFER-00146,TREN-130,HAT-07,2026-04-08 11:15:00,400,v3.0.0,M-8550,0,Karli,18.0
SEFER-00147,TREN-146,HAT-03,2026-01-25 03:45:00,378,v1.0.4,M-1794,0,Acik,7.4
SEFER-00148,TREN-153,HAT-03,25.05.2026 01:15,161,v3.0.0,M-8993,0,yagmurlu,14.1
SEFER-00149,TREN-101,HAT-09,05.04.2026 09:45,190,v3.0.0,M-3937,0,yagmurlu,55.9
SEFER-00150,TREN-113,HAT-09,2026-01-26 15:15:00,467,v2.4.1,M-7652,1,Karli,18.1
SEFER-00151,TREN-173,HAT-04,2026-04-30 05:15:00,91,v1.0.4,M-2531,1,,47.9
SEFER-00152,TREN-149,HAT-07,05.04.2026 13:45,-11,v2.4.1,M-2562,0,Acik,6.9
SEFER-00153,TREN-130,HAT-04,2026-06-04 01:45:00,400,v1.0.4,M-3938,1,Karli,38.0
SEFER-00154,TREN-103,HAT-04,2026-04-11 10:15:00,253,v3.0.0,M-9856,1,Acik,3.6
SEFER-00155,TREN-150,HAT-13,2026-05-07 11:15:00,90,v1.0.4,M-8161,0,yagmurlu,21.7
SEFER-00156,TREN-110,HAT-06,2026-04-14 12:45:00,374,v2.1.0,M-6829,1,Karli,30.3
SEFER-00157,TREN-156,HAT-03,27.04.2026 06:45,458,v2.1.0,M-7225,0,Yagmurlu,20.5
SEFER-00158,TREN-150,HAT-06,03.03.2026 19:00,277,v1.0.4,M-4070,1,Karli,39.3
SEFER-00159,TREN-158,HAT-09,2026-04-05 22:45:00,333,v3.0.0,M-1202,1,Acik,9.1
SEFER-00160,TREN-153,HAT-07,2026-05-14 05:00:00,174,v2.1.0,M-3274,1,yagmurlu,15.4
SEFER-00161,TREN-139,HAT-05,26.03.2026 09:15,265,v2.4.1,M-5040,1,Karli,31.6
SEFER-00162,TREN-177,HAT-10,2026-02-03 14:45:00,252,v2.4.1,M-8212,1,Karli,33.4
SEFER-00163,TREN-156,HAT-14,2026-05-21 19:15:00,405,v3.0.0,M-6228,1,Yagmurlu,24.5
SEFER-00164,TREN-163,HAT-10,2026-05-14 16:15:00,452,v2.1.0,M-9939,0,Sisli,19.5
SEFER-00165,TREN-171,HAT-01,2026-06-12 21:45:00,458,v3.0.0,M-9180,0,Karli,32.8
SEFER-00166,TREN-139,HAT-04,2026-02-13 08:15:00,87,v3.0.0,M-9755,1,Sisli,71.8
SEFER-00167,TREN-170,HAT-01,2026-05-16 04:30:00,354,v2.1.0,M-6816,0,,24.6
SEFER-00168,TREN-179,HAT-01,2026-04-07 08:45:00,457,v2.1.0,M-9366,0,Sisli,26.1
SEFER-00169,TREN-158,HAT-06,2026-03-09 00:45:00,306,v1.0.4,M-5840,1,Yagmurlu,12.2
SEFER-00170,TREN-111,HAT-02,2026-05-23 03:15:00,451,v1.0.4,M-8178,1,Yagmurlu,15.4
SEFER-00171,TREN-141,HAT-02,2026-02-21 11:00:00,484,v2.1.0,M-4996,0,Karli,25.4
SEFER-00172,TREN-171,HAT-03,2026-02-26 17:45:00,257,v3.0.0,M-7481,0,,12.0
SEFER-00173,TREN-179,HAT-15,2026-02-03 22:45:00,410,v1.0.4,M-2667,0,Yagmurlu,10.3
SEFER-00174,TREN-147,HAT-06,2026-02-03 21:45:00,300,v3.0.0,M-7431,0,yagmurlu,41.8
SEFER-00175,TREN-145,HAT-06,2026-05-25 13:45:00,411,v2.1.0,M-6131,0,Karli,40.1
SEFER-00176,TREN-131,HAT-05,2026-01-21 05:15:00,248,v3.0.0,M-4043,1,Sisli,24.1
SEFER-00177,TREN-169,HAT-12,2026-06-07 02:15:00,121,v1.0.4,M-6882,0,Yagmurlu,11.8
SEFER-00178,TREN-163,HAT-03,2026-02-03 13:45:00,303,v3.0.0,M-9006,0,Sisli,26.5
SEFER-00179,TREN-111,HAT-10,2026-01-06 12:15:00,325,v3.0.0,M-9369,0,Karli,16.8
SEFER-00180,TREN-174,HAT-02,2026-02-15 23:30:00,439,v3.0.0,M-2677,0,,5.8
SEFER-00181,TREN-139,HAT-14,2026-01-06 18:45:00,94,v2.1.0,M-4438,1,Sisli,45.0
SEFER-00182,TREN-179,HAT-11,2026-03-15 07:15:00,466,v2.4.1,M-9827,0,Yagmurlu,34.4
SEFER-00183,TREN-142,HAT-12,2026-02-20 04:30:00,313,v3.0.0,M-1971,1,,16.9
SEFER-00184,TREN-117,HAT-12,2026-05-29 01:15:00,474,v3.0.0,M-3329,1,Yagmurlu,22.3
SEFER-00185,TREN-154,HAT-07,2026-03-19 09:00:00,97,v2.4.1,M-8449,1,Sisli,32.2
SEFER-00186,TREN-142,HAT-10,2026-01-01 16:00:00,390,v3.0.0,M-4568,1,,4.4
SEFER-00187,TREN-128,HAT-08,2026-02-16 01:30:00,345,v2.4.1,M-1793,0,Yagmurlu,16.4
SEFER-00188,TREN-113,HAT-11,15.05.2026 00:45,130,v3.0.0,M-4314,0,Sisli,21.1
SEFER-00189,TREN-139,HAT-03,30.05.2026 11:30,92,v1.0.4,M-7493,1,Karli,25.9
SEFER-00190,TREN-130,HAT-07,2026-04-23 02:00:00,-31,v3.0.0,M-1152,0,Acik,1.4
SEFER-00191,TREN-144,HAT-14,2026-01-21 19:45:00,167,v1.0.4,M-6133,1,Sisli,25.9
SEFER-00192,TREN-139,HAT-03,2026-03-07 13:15:00,85,v2.1.0,M-8210,1,yagmurlu,16.3
SEFER-00193,TREN-128,HAT-11,2026-05-08 22:15:00,276,v1.0.4,M-7291,1,Yagmurlu,8.9
SEFER-00194,TREN-155,HAT-06,2026-05-16 06:15:00,177,v2.4.1,M-1439,1,yagmurlu,17.2
SEFER-00195,TREN-127,HAT-09,2026-04-14 19:15:00,77,v3.0.0,M-2163,0,Yagmurlu,24.8
SEFER-00196,TREN-147,HAT-15,2026-02-24 06:15:00,265,v3.0.0,M-2195,0,Karli,22.9
SEFER-00197,TREN-176,HAT-02,2026-01-03 14:30:00,454,v3.0.0,M-7939,1,Sisli,22.1
SEFER-00198,TREN-111,HAT-11,2026-04-02 19:15:00,311,v2.4.1,M-7401,0,Yagmurlu,54.6
SEFER-00199,TREN-140,HAT-12,16.03.2026 21:15,272,v2.4.1,M-3877,0,Acik,6.0
SEFER-00200,TREN-102,HAT-12,2026-01-24 16:00:00,317,v2.1.0,M-7092,0,yagmurlu,23.3
SEFER-00201,TREN-135,HAT-12,2026-06-01 12:00:00,,v1.0.4,M-9128,1,Sisli,18.2
SEFER-00202,TREN-166,HAT-06,2026-01-10 17:45:00,130,v1.0.4,M-4742,0,Karli,39.8
SEFER-00203,TREN-106,HAT-14,2026-05-28 12:00:00,246,v1.0.4,M-7870,0,Yagmurlu,10.0
SEFER-00204,TREN-142,HAT-04,2026-03-13 06:30:00,240,v2.1.0,M-4656,0,Acik,7.0
SEFER-00205,TREN-152,HAT-02,2026-05-30 22:45:00,209,v2.4.1,M-4287,1,Karli,15.9
SEFER-00206,TREN-173,HAT-13,2026-02-22 02:15:00,302,v2.1.0,M-3466,0,Yagmurlu,21.2
SEFER-00207,TREN-153,HAT-01,2026-02-10 00:30:00,54,v2.4.1,M-2703,0,Karli,15.0
SEFER-00208,TREN-168,HAT-04,2026-03-13 21:45:00,122,v2.1.0,M-9515,1,,3.3
SEFER-00209,TREN-148,HAT-08,2026-06-16 13:00:00,376,v3.0.0,M-3141,0,Sisli,15.8
SEFER-00210,TREN-138,HAT-05,2026-05-26 11:30:00,475,v2.1.0,M-2223,0,,3.9
SEFER-00211,TREN-118,HAT-13,2026-05-12 16:00:00,288,v2.1.0,M-8404,1,Karli,20.2
SEFER-00212,TREN-160,HAT-05,26.05.2026 17:00,205,v2.4.1,M-3430,0,,21.9
SEFER-00213,TREN-132,HAT-06,2026-03-09 21:00:00,139,v2.1.0,M-2551,1,Acik,30.4
SEFER-00214,TREN-114,HAT-13,2026-05-16 17:15:00,,v2.4.1,M-2376,1,Yagmurlu,19.4
SEFER-00215,TREN-110,HAT-01,2026-01-12 06:15:00,115,v2.4.1,M-3007,0,Acik,23.5
SEFER-00216,TREN-160,HAT-01,2026-01-29 22:45:00,65,v2.1.0,M-4066,1,Sisli,26.5
SEFER-00217,TREN-136,HAT-08,01.06.2026 00:15,175,v3.0.0,M-1999,0,,3.5
SEFER-00218,TREN-136,HAT-07,2026-01-24 16:45:00,319,v1.0.4,M-7266,1,Yagmurlu,18.0
SEFER-00219,TREN-162,HAT-09,2026-05-14 14:45:00,214,v2.1.0,M-1480,1,Sisli,18.2
SEFER-00220,TREN-108,HAT-13,2026-03-22 18:30:00,131,v1.0.4,M-4594,1,Acik,12.8
SEFER-00221,TREN-146,HAT-15,2026-05-24 11:15:00,462,v1.0.4,M-6761,0,,12.0
SEFER-00222,TREN-173,HAT-04,2026-05-24 01:45:00,69,v1.0.4,M-9625,1,Acik,0.6
SEFER-00223,TREN-101,HAT-06,2026-06-06 21:15:00,140,v2.1.0,M-2817,1,Karli,15.6
SEFER-00224,TREN-110,HAT-06,2026-05-01 11:45:00,215,v3.0.0,M-8982,1,Yagmurlu,45.2
SEFER-00225,TREN-123,HAT-12,2026-06-15 13:30:00,139,v2.1.0,M-3911,0,Sisli,18.7
SEFER-00226,TREN-174,HAT-07,2026-05-26 10:00:00,464,v3.0.0,M-3304,1,yagmurlu,10.5
SEFER-00227,TREN-110,HAT-04,2026-03-01 10:30:00,95,v2.4.1,M-8317,0,,11.1
SEFER-00228,TREN-134,HAT-04,2026-02-12 20:00:00,418,v3.0.0,M-3725,1,Acik,0.5
SEFER-00229,TREN-164,HAT-15,2026-03-06 21:30:00,295,v2.1.0,M-8393,0,yagmurlu,18.5
SEFER-00230,TREN-105,HAT-05,2026-01-04 16:30:00,225,v1.0.4,M-9962,0,Yagmurlu,29.9
SEFER-00231,TREN-144,HAT-10,2026-04-15 23:45:00,384,v1.0.4,M-2659,1,Yagmurlu,17.3
SEFER-00232,TREN-127,HAT-04,2026-03-12 02:30:00,99,v3.0.0,M-3516,0,Acik,5.0
SEFER-00233,TREN-147,HAT-01,2026-03-15 05:00:00,357,v2.1.0,M-5781,0,Sisli,17.2
SEFER-00234,TREN-161,HAT-14,2026-01-20 23:30:00,388,v2.1.0,M-7078,1,Karli,16.0
SEFER-00235,TREN-148,HAT-03,2026-03-18 07:00:00,165,v1.0.4,M-2404,1,Karli,33.3
SEFER-00236,TREN-170,HAT-07,2026-06-15 22:15:00,469,v3.0.0,M-4860,1,yagmurlu,13.4
SEFER-00237,TREN-139,HAT-02,2026-03-09 15:00:00,459,v1.0.4,M-8357,0,yagmurlu,19.3
SEFER-00238,TREN-122,HAT-04,2026-05-19 05:15:00,399,v2.1.0,M-5225,1,Sisli,17.3
