tren_id,tren_tipi,uretim_yili,lokomotif_yasi,toplam_kilometre_km,son_servis_gun_sayisi,motor_saglik_skoru,fren_balata_asinma_pct,tekerlek_profil_asinma_mm,depo_sorumlusu_adi,depo_kodu,garanti_durumu,son_bakim_maliyeti_tl,yedek_parca_tedarikci_kodu
TREN-168,Bolgesel,2015,11,724906,138,53.5,24.1,4.0,Fatma Sahin,DEP-ANK,Bitti,412669,SUP-5728
TREN-169,Anahat,2017,9,1788243,141,74.4,16.8,1.0,Mustafa Celik,DEP-IZM,Devam Ediyor,246507,SUP-6280
TREN-170,YHT,2018,8,187012,139,87.8,24.9,6.5,Mehmet Demir,DEP-SVS,Bitti,251855,SUP-5557
TREN-171,Yuk,1997,29,2071366,180,65.9,18.9,2.3,Ali Kaya,DEP-ADA,Bitti,235820,SUP-9117
TREN-172,Banliyo,1996,30,2007678,47,66.0,92.5,5.1,Hasan Arslan,DEP-SVS,Bitti,289796,SUP-1018
TREN-173,Yuk,1996,30,886778,267,87.4,63.2,9.2,Mustafa Celik,DEP-IST,Bitti,126723,SUP-5375
TREN-174,Yuk,2017,9,2133028,64,,63.6,9.7,Ali Kaya,DEP-SVS,Devam Ediyor,392130,SUP-3594
TREN-175,Banliyo,2008,18,490947,117,95.2,49.2,1.9,Fatma Sahin,DEP-ADA,Bitti,456282,SUP-3522
TREN-176,Banliyo,2017,9,1246827,214,98.5,30.7,6.8,Mustafa Celik,DEP-SVS,Uzatildi,221109,SUP-4122
TREN-177,Bolgesel,1997,29,1258665,214,89.0,32.7,0.5,Zeynep Ozturk,DEP-SVS,Uzatildi,400659,SUP-5891
TREN-178,Yuk,1999,27,1972955,277,66.5,74.8,4.8,Hasan Arslan,DEP-IST,Uzatildi,188704,SUP-4090
TREN-179,Yuk,2002,24,1822915,24,73.4,87.6,4.9,Fatma Sahin,DEP-ANK,Devam Ediyor,367964,SUP-3492
TREN-180,Banliyo,2013,13,1492486,53,71.8,54.7,5.8,Fatma Sahin,DEP-ADA,Devam Ediyor,398768,SUP-3361
TREN-181,YHT,2022,4,1211586,175,69.7,16.8,4.3,Fatma Sahin,DEP-IZM,Uzatildi,373557,SUP-9742
TREN-182,Yuk,2012,14,250571,37,83.9,34.4,3.1,Ahmet Yilmaz,DEP-ADA,Uzatildi,67384,SUP-8110
TREN-183,YHT,2022,4,797784,155,52.3,77.7,3.9,Mehmet Demir,DEP-IST,Uzatildi,216524,SUP-8056
TREN-184,Yuk,2013,13,855213,89,80.2,42.5,8.4,Mehmet Demir,DEP-KNY,Uzatildi,280920,SUP-3344
TREN-185,Anahat,2009,17,1170917,6,73.0,34.4,6.8,Ali Kaya,DEP-SVS,Bitti,58724,SUP-8237
TREN-186,Yuk,2017,9,1148987,235,59.9,42.7,6.1,Mustafa Celik,DEP-IZM,Uzatildi,144364,SUP-7248
TREN-187,Anahat,2017,9,1338287,13,82.6,33.3,7.0,Mustafa Celik,DEP-ADA,Bitti,379556,SUP-1803
TREN-188,Anahat,2019,7,1065186,182,59.4,31.3,9.2,Hasan Arslan,DEP-ANK,Uzatildi,422375,SUP-3240
TREN-189,YHT,2019,7,1948946,19,86.3,17.7,3.9,Mehmet Demir,DEP-IST,Devam Ediyor,411895,SUP-7807
TREN-190,Banliyo,2006,20,2326556,258,91.1,31.8,10.0,Hasan Arslan,DEP-IZM,Devam Ediyor,272627,SUP-5835
TREN-191,Yuk,1997,29,690377,117,85.8,93.3,11.6,Ahmet Yilmaz,DEP-KNY,Devam Ediyor,441835,SUP-6992
TREN-192,Anahat,2012,14,618368,234,87.1,32.3,4.9,Ahmet Yilmaz,DEP-ADA,Devam Ediyor,354783,SUP-7086
TREN-193,Yuk,1995,31,2454713,169,61.0,15.4,10.0,Hasan Arslan,DEP-KNY,Devam Ediyor,496781,SUP-5951
TREN-194,Bolgesel,1996,30,256078,157,55.7,30.0,6.7,Ali Kaya,DEP-ADA,Uzatildi,223762,SUP-8432
TREN-195,Banliyo,2008,18,748116,214,91.3,62.3,11.3,Hasan Arslan,DEP-IZM,Devam Ediyor,166664,SUP-1536
TREN-196,Yuk,2009,17,1090328,187,,68.3,6.8,Ahmet Yilmaz,DEP-KNY,Bitti,358074,SUP-6876
TREN-197,Bolgesel,1998,28,2007222,48,81.8,60.8,0.7,Mehmet Demir,DEP-IST,Uzatildi,432506,SUP-6464
TREN-198,Bolgesel,1997,29,2424515,108,90.2,29.8,9.4,Ali Kaya,DEP-IST,Devam Ediyor,433476,SUP-1046
TREN-199,Banliyo,2003,23,831893,58,51.3,11.3,9.6,Ahmet Yilmaz,DEP-IST,Bitti,144744,SUP-6304
TREN-200,YHT,2017,9,1865636,271,53.1,48.1,4.7,Fatma Sahin,DEP-SVS,Devam Ediyor,331251,SUP-2786
TREN-201,Banliyo,1996,30,2287124,156,97.7,15.2,6.0,Hasan Arslan,DEP-ANK,Bitti,230563,SUP-7984
TREN-202,Yuk,1997,29,438859,166,53.3,33.4,7.8,Fatma Sahin,DEP-SVS,Uzatildi,307496,SUP-6327
TREN-203,Anahat,2009,17,2220434,222,,69.7,10.3,Fatma Sahin,DEP-KNY,Devam Ediyor,361267,SUP-4522
TREN-204,Yuk,2005,21,2002112,206,54.7,46.3,8.1,Hasan Arslan,DEP-KNY,Devam Ediyor,216241,SUP-3500
TREN-205,YHT,2016,10,491035,223,,72.8,9.8,Mustafa Celik,DEP-SVS,Uzatildi,311698,SUP-1982
TREN-206,Anahat,2016,10,612675,212,82.9,73.8,10.5,Ali Kaya,DEP-SVS,Bitti,398043,SUP-1842
TREN-207,Anahat,1998,28,2228242,110,73.9,82.0,4.5,Ahmet Yilmaz,DEP-IZM,Uzatildi,311643,SUP-7022
TREN-208,Bolgesel,2020,6,1899827,289,90.5,62.2,7.9,Ahmet Yilmaz,DEP-IST,Bitti,33764,SUP-5381
TREN-209,Anahat,2005,21,1572298,5,57.1,65.9,1.3,Ahmet Yilmaz,DEP-ADA,Uzatildi,408481,SUP-1502
TREN-210,Bolgesel,2007,19,1860905,234,68.3,71.3,9.4,Ahmet Yilmaz,DEP-IST,Devam Ediyor,317582,SUP-2391
TREN-211,Banliyo,1996,30,442177,141,71.0,61.6,5.3,Ahmet Yilmaz,DEP-IZM,Bitti,133020,SUP-9394
TREN-212,YHT,2019,7,2141085,271,52.2,43.6,7.4,Ali Kaya,DEP-IST,Devam Ediyor,24030,SUP-4349
TREN-213,Anahat,2004,22,1476244,63,,73.5,2.5,Hasan Arslan,DEP-IST,Uzatildi,219338,SUP-9725
TREN-214,Banliyo,2016,10,1585484,38,86.7,47.1,5.8,Mustafa Celik,DEP-KNY,Uzatildi,60822,SUP-6129
TREN-215,Yuk,2017,9,1851935,150,51.0,37.6,9.7,Zeynep Ozturk,DEP-ADA,Bitti,344075,SUP-8538
TREN-216,YHT,2021,5,544022,126,69.8,16.7,10.5,Mehmet Demir,DEP-IZM,Devam Ediyor,411016,SUP-6562
TREN-217,YHT,2023,3,578262,273,94.8,39.7,8.9,Mehmet Demir,DEP-ANK,Devam Ediyor,449364,SUP-3419
TREN-218,Anahat,2001,25,827707,80,82.4,25.1,9.4,Zeynep Ozturk,DEP-SVS,Uzatildi,279059,SUP-8601
TREN-219,Yuk,2016,10,2467650,167,81.0,22.8,1.3,Zeynep Ozturk,DEP-IZM,Uzatildi,251844,SUP-5961
TREN-220,YHT,2020,6,2227925,39,72.4,14.8,10.1,Mustafa Celik,DEP-SVS,Uzatildi,60229,SUP-2479
TREN-221,Yuk,2009,17,2424971,23,90.1,65.4,4.2,Mehmet Demir,DEP-ANK,Bitti,269366,SUP-9214
TREN-222,YHT,2020,6,453702,260,51.9,70.1,11.9,Mustafa Celik,DEP-IST,Bitti,294762,SUP-9564
TREN-223,Anahat,2004,22,1724942,211,83.6,14.5,7.8,Ali Kaya,DEP-ANK,Uzatildi,195452,SUP-2079
TREN-224,Yuk,2004,22,1156946,78,78.8,22.0,4.5,Mehmet Demir,DEP-SVS,Uzatildi,363961,SUP-7421
TREN-225,YHT,2019,7,2444289,194,66.3,20.9,8.6,Ahmet Yilmaz,DEP-ADA,Uzatildi,407330,SUP-9624
TREN-226,Yuk,2011,15,1617617,11,58.9,28.2,11.4,Mehmet Demir,DEP-IST,Devam Ediyor,274946,SUP-4145
TREN-227,YHT,2019,7,524215,261,91.3,85.1,0.9,Mustafa Celik,DEP-KNY,Devam Ediyor,196561,SUP-3147
TREN-228,Bolgesel,2000,26,794321,226,,41.0,8.8,Zeynep Ozturk,DEP-ADA,Bitti,252888,SUP-5668
TREN-229,Bolgesel,2012,14,1103145,160,88.8,86.8,2.7,Fatma Sahin,DEP-IZM,Bitti,375628,SUP-8218
TREN-230,Banliyo,2011,15,1855990,84,89.7,21.8,3.4,Zeynep Ozturk,DEP-IZM,Uzatildi,356162,SUP-8873
TREN-231,YHT,2023,3,622936,147,,23.6,5.7,Zeynep Ozturk,DEP-KNY,Devam Ediyor,289144,SUP-3414
TREN-232,Bolgesel,2009,17,1566266,15,69.6,41.8,4.9,Mehmet Demir,DEP-ANK,Bitti,62784,SUP-7142
TREN-233,YHT,2020,6,712575,72,,88.0,5.9,Zeynep Ozturk,DEP-ADA,Bitti,455741,SUP-3273
TREN-234,Yuk,2014,12,122025,42,,28.3,2.2,Fatma Sahin,DEP-ANK,Bitti,401280,SUP-9647
TREN-235,Bolgesel,2004,22,611069,26,81.6,62.9,1.2,Mustafa Celik,DEP-SVS,Devam Ediyor,458665,SUP-9189
TREN-236,Banliyo,2013,13,1114762,75,50.1,40.0,7.1,Mustafa Celik,DEP-IZM,Devam Ediyor,118206,SUP-2402
TREN-237,Banliyo,2012,14,2227886,261,69.3,50.0,7.8,Hasan Arslan,DEP-ANK,Bitti,215717,SUP-5155
TREN-238,YHT,2020,6,1111355,55,86.4,38.3,1.0,Zeynep Ozturk,DEP-ADA,Devam Ediyor,306268,SUP-6546
TREN-239,Yuk,2017,9,2107105,95,53.1,76.0,5.8,Ahmet Yilmaz,DEP-IST,Devam Ediyor,173848,SUP-4302
TREN-240,Anahat,2004,22,2261675,205,76.9,31.5,9.2,Ali Kaya,DEP-ANK,Uzatildi,120193,SUP-5687
TREN-241,Anahat,2003,23,622086,190,69.8,47.4,11.5,Fatma Sahin,DEP-ADA,Bitti,197752,SUP-4060
TREN-242,Anahat,2020,6,2278000,138,86.0,16.7,7.4,Mustafa Celik,DEP-IZM,Bitti,451143,SUP-3956
TREN-243,YHT,2016,10,1475395,153,79.8,46.2,8.4,Ahmet Yilmaz,DEP-ADA,Bitti,204311,SUP-8325
TREN-244,Banliyo,2008,18,1251568,31,,64.2,4.7,Ahmet Yilmaz,DEP-IST,Uzatildi,440005,SUP-3621
TREN-245,Yuk,1996,30,629447,36,81.9,40.8,11.4,Hasan Arslan,DEP-KNY,Bitti,36979,SUP-3513
TREN-246,Anahat,2009,17,422480,295,68.2,36.7,3.7,Hasan Arslan,DEP-IST,Bitti,79479,SUP-1424
TREN-247,Banliyo,2007,19,2455826,62,62.9,47.9,12.0,Mehmet Demir,DEP-ANK,Devam Ediyor,169724,SUP-9047
TREN-248,YHT,2022,4,824173,229,90.1,92.2,11.8,Hasan Arslan,DEP-ANK,Uzatildi,370140,SUP-6692
TREN-249,Banliyo,2004,22,1358109,82,95.9,64.2,9.6,Ahmet Yilmaz,DEP-IST,Devam Ediyor,286734,SUP-4673
TREN-250,Bolgesel,2020,6,2172078,15,78.3,49.7,11.8,Ahmet Yilmaz,DEP-IZM,Bitti,88037,SUP-2412
TREN-251,Yuk,2011,15,1822999,211,53.7,92.7,7.9,Hasan Arslan,DEP-SVS,Bitti,255916,SUP-8632
TREN-252,Bolgesel,2019,7,2412334,95,56.4,52.7,10.5,Mustafa Celik,DEP-IST,Bitti,455888,SUP-3034
TREN-253,Bolgesel,2000,26,1453337,117,96.6,86.1,10.2,Hasan Arslan,DEP-SVS,Bitti,151389,SUP-4216
TREN-254,Bolgesel,2015,11,1370138,275,,64.5,7.3,Mehmet Demir,DEP-ADA,Uzatildi,324425,SUP-3526
TREN-255,Banliyo,2005,21,2463985,23,51.4,13.9,7.9,Hasan Arslan,DEP-IST,Uzatildi,322394,SUP-5336
TREN-256,Yuk,2014,12,227028,256,77.0,64.6,4.0,Ali Kaya,DEP-KNY,Devam Ediyor,148386,SUP-7653
TREN-257,YHT,2017,9,1943839,214,60.1,61.6,4.1,Hasan Arslan,DEP-IZM,Bitti,396629,SUP-6231
TREN-258,Bolgesel,2019,7,1654158,265,65.8,49.7,3.6,Ahmet Yilmaz,DEP-ANK,Bitti,149980,SUP-3308
TREN-259,Yuk,2014,12,1853784,129,94.7,79.1,11.2,Mehmet Demir,DEP-IST,Bitti,398078,SUP-6123
TREN-260,Banliyo,2009,17,2191949,159,54.5,43.4,5.8,Mustafa Celik,DEP-IZM,Devam Ediyor,146211,SUP-4524
TREN-261,YHT,2019,7,2175736,242,50.4,19.1,2.0,Zeynep Ozturk,DEP-KNY,Bitti,158659,SUP-6992
TREN-262,YHT,2021,5,314570,293,67.9,34.5,4.9,Zeynep Ozturk,DEP-SVS,Uzatildi,256115,SUP-5582
TREN-263,Banliyo,1998,28,639653,51,89.3,38.8,11.3,Mehmet Demir,DEP-SVS,Uzatildi,415819,SUP-3363
TREN-264,Yuk,2011,15,268841,25,,70.7,9.7,Mehmet Demir,DEP-SVS,Uzatildi,292279,SUP-8487
TREN-265,Bolgesel,2005,21,1436011,85,80.5,81.6,7.3,Mustafa Celik,DEP-KNY,Uzatildi,285979,SUP-9351
TREN-266,Banliyo,2004,22,2091843,10,83.4,93.3,7.2,Mustafa Celik,DEP-KNY,Bitti,437728,SUP-1436
TREN-267,Banliyo,2013,13,1054385,28,58.4,63.5,7.6,Mehmet Demir,DEP-ADA,Devam Ediyor,461013,SUP-7229
TREN-268,YHT,2024,2,560935,99,,36.7,2.2,Fatma Sahin,DEP-SVS,Uzatildi,382021,SUP-4340
TREN-269,Yuk,2018,8,361226,72,77.8,94.8,6.0,Mehmet Demir,DEP-KNY,Uzatildi,217564,SUP-6140
TREN-270,Anahat,2012,14,1585987,137,59.5,31.0,6.9,Zeynep Ozturk,DEP-IZM,Uzatildi,137895,SUP-5876
TREN-271,Bolgesel,2017,9,2151027,164,77.7,89.4,8.8,Mustafa Celik,DEP-ADA,Uzatildi,170884,SUP-2996
TREN-272,Yuk,2007,19,1547599,76,64.2,70.7,4.5,Hasan Arslan,DEP-KNY,Devam Ediyor,251932,SUP-5201
TREN-273,Bolgesel,2012,14,1237213,289,56.8,62.3,7.2,Hasan Arslan,DEP-SVS,Devam Ediyor,147117,SUP-1831
TREN-274,Bolgesel,1996,30,520260,213,73.4,67.9,2.1,Fatma Sahin,DEP-ADA,Bitti,308543,SUP-3587
TREN-275,Yuk,2015,11,936578,149,82.0,87.2,1.5,Mustafa Celik,DEP-ADA,Uzatildi,321011,SUP-4804
TREN-276,YHT,2017,9,1852736,92,51.8,81.1,9.6,Ahmet Yilmaz,DEP-ANK,Bitti,117680,SUP-5742
TREN-277,Banliyo,2014,12,550051,173,99.0,56.2,6.2,Fatma Sahin,DEP-IZM,Devam Ediyor,90359,SUP-9261
TREN-278,YHT,2020,6,781550,236,85.6,11.2,4.4,Mehmet Demir,DEP-SVS,Uzatildi,174677,SUP-4164
TREN-279,Yuk,2008,18,2261243,169,,66.9,2.6,Ali Kaya,DEP-IST,Devam Ediyor,93721,SUP-8822
TREN-280,Anahat,2007,19,1087847,230,97.2,35.7,8.8,Hasan Arslan,DEP-IZM,Uzatildi,25995,SUP-5285
TREN-281,Bolgesel,1996,30,595870,240,70.1,52.7,10.8,Hasan Arslan,DEP-ANK,Uzatildi,388866,SUP-6095
TREN-282,Anahat,2006,20,1026308,114,73.7,48.7,11.9,Hasan Arslan,DEP-SVS,Bitti,215887,SUP-7813
TREN-283,Banliyo,2020,6,1016084,128,79.5,76.9,6.5,Ahmet Yilmaz,DEP-SVS,Devam Ediyor,296914,SUP-6927
TREN-284,YHT,2023,3,2220166,105,57.4,37.9,6.5,Hasan Arslan,DEP-SVS,Bitti,80943,SUP-4365
TREN-285,YHT,2023,3,1968489,30,75.4,48.8,1.2,Hasan Arslan,DEP-ANK,Bitti,262419,SUP-6049
TREN-286,Anahat,1995,31,1013944,298,,46.0,8.6,Ahmet Yilmaz,DEP-KNY,Devam Ediyor,303725,SUP-1987
TREN-287,Anahat,2008,18,854896,71,98.4,64.9,5.3,Fatma Sahin,DEP-KNY,Bitti,487315,SUP-7266
TREN-288,YHT,2023,3,657799,180,99.1,43.4,2.0,Zeynep Ozturk,DEP-ANK,Bitti,136753,SUP-1056
TREN-289,Yuk,2016,10,2383569,219,90.8,31.0,4.5,Hasan Arslan,DEP-ANK,Devam Ediyor,164519,SUP-4088
TREN-290,Yuk,2014,12,165623,125,55.0,12.9,7.4,Mehmet Demir,DEP-ADA,Devam Ediyor,388724,SUP-1797
TREN-291,Yuk,2009,17,1082890,278,92.8,14.8,6.3,Zeynep Ozturk,DEP-ADA,Uzatildi,171657,SUP-4836
TREN-292,Anahat,2013,13,1444966,123,57.1,66.1,3.0,Ahmet Yilmaz,DEP-SVS,Uzatildi,177549,SUP-5508
TREN-293,Bolgesel,2015,11,1891809,286,98.1,90.0,8.2,Ali Kaya,DEP-ADA,Bitti,431987,SUP-9592
TREN-294,Yuk,1999,27,1357823,194,76.6,30.5,3.1,Zeynep Ozturk,DEP-KNY,Devam Ediyor,469598,SUP-3365
TREN-295,Banliyo,2008,18,1846960,287,69.2,31.7,4.3,Zeynep Ozturk,DEP-IZM,Devam Ediyor,61455,SUP-8369
TREN-296,Banliyo,2018,8,898937,28,83.3,61.2,10.5,Fatma Sahin,DEP-IST,Bitti,118651,SUP-4555
TREN-297,Anahat,1995,31,988386,99,55.8,95.0,6.0,Fatma Sahin,DEP-IST,Uzatildi,147188,SUP-4350
TREN-298,Anahat,2019,7,1287236,196,82.1,36.2,4.6,Fatma Sahin,DEP-ANK,Uzatildi,482847,SUP-9147
TREN-299,Yuk,2019,7,1443155,106,70.5,57.8,3.0,Ali Kaya,DEP-SVS,Uzatildi,96505,SUP-1265
TREN-300,Banliyo,2018,8,1851449,153,66.3,42.3,10.1,Ali Kaya,DEP-KNY,Uzatildi,281777,SUP-6530
TREN-301,Yuk,2009,17,805623,182,85.7,51.5,11.0,Mustafa Celik,DEP-ANK,Devam Ediyor,304235,SUP-1962
